study,level,caseName,omegaRadPerSecond,bodyPanelCount,bodyVertexCount,waterlinePanelCount,freeSurfacePanelCount,bottomPanelCount,outerBoundaryPanelCount,bemUnknownCount,influenceMatrixRows,influenceMatrixColumns,sourcePanelCount,collocationPointCount,bodyCharacteristicSizeM,outerCharacteristicSizeM,maxRadiationLinearResidual,maxDiffractionLinearResidual,bodyMeshHash,freeSurfaceMeshHash,bottomMeshHash,outerBoundaryMeshHash,bodyFreeSurfaceMeshHash,sourcePointHash,collocationPointHash,cacheKey,cacheStatus
BodyMesh,Coarse,Case1_HemiD10_Coarse,1.5,108,121,24,280,868,112,1368,1368,1368,1368,1368,1.1970141330561,5.80709704436257,3.13001326221867e-15,7.87082168974797e-15,fb55d0b0c80f048376c7debbd05f9db7242de0ed763531b70c18c66ee9d79a37,30e6eaa7d787cb53232befee02ce1d0b42ce8d4a8e04b0e5667c3e5c452c3e69,aacc31485522f79006ed6dd0213bcf955cdfcae67f9066df047104015354c810,c1d139d7270eb55956d4c695a4f4d50a79522ba6772648f86fd2c448b511a5aa,45cf2dc2a7cca5e3beada1685b1059404837b9399009f68d61b6309027f6b453,89aa91950b050897c688259a3041d9c22bdc35e81aca6fed7ef92587947b0c54,e4f02501a4179a204edecacc2ab21a0a2bd7a44187ea31296680c3eb4b3ea1ac,c083caad123d2ef8937fc21ef84ea4dac28b16b9913fc368606eafb9739e8004,hit
BodyMesh,Coarse,Case1_HemiD10_Coarse,1.6,108,121,24,280,868,112,1368,1368,1368,1368,1368,1.1970141330561,5.43894920632952,4.22990684948828e-15,1.15652733716e-14,fb55d0b0c80f048376c7debbd05f9db7242de0ed763531b70c18c66ee9d79a37,6f52c49364de80332620d9f602846d345a906654092168b50919150787b3c36b,7f4adac97937557a67cbe3cbabc2ca7ab8394340887fe9eb94bcb4236ee4d1ee,47741dfd6c23f907a6660889e02afbd2315fb30ba8d99102e1f4f1177c792436,74f5140c2245a63ed0a274e7f608af5ad840db1778a291c9e29677d8d5e2373d,1c0427e61144b337fbe3181a6d7babea215969a7d17c739c507a5b0b24b23735,1ee61b9d7b6a5f428a14e00e541aa5f643146b2ecf387f0e371aabf0c0bd994b,e8885ce77269191decb0001842b441c5df75ede5b5df54ee38eecc86cad5bd6d,hit
BodyMesh,Coarse,Case1_HemiD10_Coarse,1.7,108,121,24,280,868,112,1368,1368,1368,1368,1368,1.1970141330561,5.13200596442327,2.29377205864967e-14,6.87163744165829e-14,fb55d0b0c80f048376c7debbd05f9db7242de0ed763531b70c18c66ee9d79a37,d302162cda5aed07275ab7f5646d4071e011241bdcbde64c2d8df476febe9266,f12c83b07db28e2c74f438d4d5a6724b004573c6454dc2887ba9224d2dec7853,69c2fd4e133c89abdba29a48401b1065f84a9226ede3fd71ee418ee3a1a1ac0f,6b3c902cace39f5ef864feb73ce6d5f22d465fb1c98e17ac7e431fcb4b229650,1fc702c2b68e9eabf06c1d8ab6a5e6c9eb99347a87a915d39ba3710fbe841ae6,84a977c68ef486322e77641b2ec589cf0f675d8f74df7aa2aea6055a40b53dd0,c006bec3978814055bcfe9cdf014820d3dd60611182ba4e4db6dc33c75712937,hit
BodyMesh,Coarse,Case1_HemiD10_Coarse,1.8,108,121,24,280,868,112,1368,1368,1368,1368,1368,1.1970141330561,4.8732612193141,2.95770793284338e-14,5.5712017032564e-15,fb55d0b0c80f048376c7debbd05f9db7242de0ed763531b70c18c66ee9d79a37,f1e12c98b020f5a8f5ea9fa421685e2d9460f08b7989a2498057175d718c6ebd,808cbf3f9218b19ea979c4d475324ef785e3b5795242e44d52a40a1f51f95f1c,afb4eafc68a1db83f3e8717ae085eb796250fbb7db4a49e3232cc95e59998784,6b9ce50e764b02d57304847f163dfd8ed33c2a5d91da1b2ba8992d9ff61b7582,286ab8d2a58f50071723363ab819426ae96259a7f0c105c1062b8a7f6d2a3378,fa86bccd19e7b3c4ef60a55cd3c4afe6bc7d23b899cbb91aaa4cefbe413496cc,530dacd1f491a1c2ac88e25497e982d030ed0bdebd30b9be717e783b90f08484,hit
BodyMesh,Coarse,Case1_HemiD10_Coarse,1.9,108,121,24,280,868,112,1368,1368,1368,1368,1368,1.1970141330561,4.65301698449182,2.79157528555828e-15,3.15051168729375e-15,fb55d0b0c80f048376c7debbd05f9db7242de0ed763531b70c18c66ee9d79a37,bbe6bcb6e1b382b9b3948b201e6d2cbe2d25e8807e00166893d6890cc9a383e1,cc4900c86407e5107057a57c5915541196fb951f9d8a0fe46f73a7e1618ae812,9a85ef1110cdf05c6b9d2e900929c93bc1386e3efa1211e95bf9e92b7971b1c9,c4f4682a0c20c519404a38d372f085737240ebbf79fb58edcaa3430592fe26dc,f68d9618da25f40779f92c1506a0640028017b3ce5f6c77be562c4eb8100c03d,d6b36d145f1049f78ff6820b4c1a2126246a4c7bf07f8c135203c26d5b5b3b11,a032036a671ad4c185c2951b07f17d96f55b091e2146b2814030e01f532ba6e4,hit
BodyMesh,Coarse,Case1_HemiD10_Coarse,2,108,121,24,280,868,112,1368,1368,1368,1368,1368,1.1970141330561,4.46391793141601,2.34995856610999e-15,2.46620097716869e-15,fb55d0b0c80f048376c7debbd05f9db7242de0ed763531b70c18c66ee9d79a37,9a46716cd4a2df740b47fdbe165152a4c35db952bf5e32c2bf3d1d2b3c512dc2,e8ee445f15189a4a6abf3cfb3cbcea9cc17a574be02566eed71ca34d3ab76d6e,a38955b1a0ce7b3f76443b337c86be51708f9795b88e372c6f8761a261d3660b,7389bf86a2d8c0765b3bade50138ef1a1c76eaeb79c5f0f47937b3150e089fd4,0d3dfcbb9ceb53342cbc7093c4016520ca437babd448dbeeba856b9e2c832b0f,ba3aa79aae6e42bc1e741eadb043e9354147a80d314861a43809b93976026761,f2fcc6da0cb9f6ed9caf820bc00af9d2e534a13bec756f1e4201f317e8920159,hit
BodyMesh,Medium,Case1_HemiD10_Medium,0.5,300,321,40,280,868,112,1560,1560,1560,1560,1560,0.721650583949818,26.3692252925203,4.6671613989229e-16,4.57824709770184e-16,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,1cbcedb1cfed0d03bf85d26ea58df1440300650d0224e920afb0af91d1174ebe,95810e045dbdae645a4d87c50eb2d3e282d2d6d5fa52e3a5d555e7ef674f9c28,e20ba3132e8bc3cd7c15c5a94f4e043fe84bcbf3be0e731a6c46d848beda6a0a,d293a9468bf3aaa3953a076622202b5a7a5fbee9f59564b5465751831c59ef4e,721ca57de45cd7e124be378138cf849f27e2b60876aa0373b582af2d78dbb64c,072b18f53ecd05b017242929e53dacce73397ee8912373e429a6df6ac5ba1123,ca650327f65de83270bdcd34890b066e05a93d5f408b3f7dffa80949a7a5005d,miss
BodyMesh,Medium,Case1_HemiD10_Medium,0.6,300,321,40,280,868,112,1560,1560,1560,1560,1560,0.721650583949818,20.4431879707179,5.62087838385193e-16,5.12571101499193e-16,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,59919a4ce0bb5d3395222250d4d83abec7003f6ca570b5cff2dcdc73826bbdc4,dab5b4f5468c068be7ca3b6d8a5f0e0d4c1e33d570250a3f66f747f619ad050f,506cc602c179dff62b1a28b30dc6df9192780505c975f18145ca1b1f44dab448,30508e123b6d603286f1637d1cc5185bbb89a95e1b3ff387edf0930ffdeda49a,41aa0302402a2293911a27910e4054921dd88744620e4d15209111eeca92c68d,dd23bb538f338516406d7366e6d0bbedbec8dcd4597985694ecfd87fd927e231,7ab504fb2e4ea4b57af5273a9aac63752241d9d2525268e9b9ee7c8c8bf01bfb,miss
BodyMesh,Medium,Case1_HemiD10_Medium,0.7,300,321,40,280,868,112,1560,1560,1560,1560,1560,0.721650583949818,16.2175389760962,9.48148288423622e-16,1.00929114920478e-15,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,a4806a322eea9d3927a03ceb292580eb1a358d523da1760023ff189feb0c4950,99df15a44666660e5e956e2c543c59adf6c605dbb2cfda461cbabd02dba91510,65b900c8c66e0a1567dda97746608c76b1d048692c9d6938051394c1795f6bf4,19b9f0cb0637cca782851cb31ec47544236435cc482b8274b355d1ce52fb32f6,8e2419d96e6a22fbd8f1ee88b55b1f0c45e1ad5704f4aef73bf2038c82bfac99,23ec42a0b91ab3f26c9694222e03257aa3f91bfeb923ae4a8e9ab2011e6d7792,acc5e29008c6a3b011aa4ef5a6cc72fee411fa8a2c50afb67d05a54bffb48af3,miss
BodyMesh,Medium,Case1_HemiD10_Medium,0.8,300,321,40,280,868,112,1560,1560,1560,1560,1560,0.721650583949818,13.2154200089132,9.97972185276339e-16,2.78611848637606e-15,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,85be1705c23dfbd12bb0ee668f039f21eab9d1e7f8a89acec82f1880366539f2,0614c424897e35d61bd678a54f2422f81c55afd221cc58826eebca841720f907,bf1a9e04323d4068ad1a63b6f2ee594036dbe3e20d6257ed60a11224edb679b9,868c6fcfb267450fa008651c316feb9567997520f388788284e4aaf2c0da33a1,caae257d624e7115b2c343e3c268b912be5c7a01c2e2c78b616803ed10739d13,e5f843ab6a8eaa14a21c5da6d91555d2b4a4dd4d75ce4fb11a8ce550cb3a3231,3cf14259ef1ad07122fc35fc3872bb6c1ccb1218bba14cd8d82e19cc7e3b29eb,miss
BodyMesh,Medium,Case1_HemiD10_Medium,0.9,300,321,40,280,868,112,1560,1560,1560,1560,1560,0.721650583949818,11.0796000445868,1.78763309196236e-15,3.38010605004985e-15,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,35bc5f282c815607ae95be5c6fe609291c49db65c4befccd01941b3ab46132d2,df2b49729e2130c7de08889cfa3dd8e928bb89fc532b7e2c2d77958789792732,1030f71054bd054fd7408b0cbe402cd6cfa811dff679ea69ee0cc058a98ebff7,192c5f14cd48c1a83af1115c04f86a0fd9658e032166d33e0523135229c3fdb0,6bcb64d764b0b04fac72414b27ecb59e9cfd14bfed8897a64dd874da8b6f5ecf,19b974c6a936650a4c5a7b89ecf7d1c0c346496dce4be82fbd2c756a590c75c3,6d7daa89f81d33574699d14404b9a1cab71bb88e54f3b5b295561a7c4705ac5e,miss
BodyMesh,Medium,Case1_HemiD10_Medium,1,300,321,40,280,868,112,1560,1560,1560,1560,1560,0.721650583949818,9.53108947809281,1.4730780092746e-15,3.48365669158318e-15,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,e5c0c945988cd3a2961cb44c8140ea6385ef9b54e51eaca3e3682b6565e09676,4bdbd08dfb7d97f42714e101c114702fd38113aef8e6fb5e904092ff640dc411,3022f86967b07104a63e81881b5a4423b0baf839f89c133a430e9110011f903b,dd2084e5e46cfeb113078f0a236a0185a21d1e1b713938f7b4292943e00abfba,2605c34cde4be712360584d172630fab33138657a4a95900ea5a0b6687257b64,1f5a56a639b8952ae7d42207234047b5500524452efaf3829bcc514c8813a1b2,563da2c436fcde10cefe7a9c84b3e65ddb9c37902bbd7788655c82d0bc2bf90b,miss
BodyMesh,Medium,Case1_HemiD10_Medium,1.1,300,321,40,280,868,112,1560,1560,1560,1560,1560,0.721650583949818,8.3776607432782,3.8869509055563e-14,9.70913079035927e-14,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,e47ac046f817420242a3235b3bcbe0500cdc43bbe9ab76e316682b13796b1989,23e313defd9d10ec4ae2186cefa714aad906b9379b32a7e100455f174e8a741b,8cf45d0155faf6cf9e63d3f35567ded11c14762e7fca751db037a3f108cf23d7,b5745a2cf6c0ff0f4ac6344747eeaea069a08ab9f3a883949f9ad3b338ad60bc,f7e17610c5ed87d15c6feeaee86eb6f4735966aa7c663764e4c5b3b4365a6837,6a3644063203ee763128ac9bc7ccdc1478d7ee5f529d26bb098197d80a823523,a30ad22a6a86fdf7614f59a1869864318218e09a7d2fbdd66c9b5d9cf7ce90cf,miss
BodyMesh,Medium,Case1_HemiD10_Medium,1.2,300,321,40,280,868,112,1560,1560,1560,1560,1560,0.721650583949818,7.49553322051981,2.52945919098295e-15,7.44089528767125e-15,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,583058a8fc5bb7b68c441a383cf2eba74d744b3dfba46ba1ccf837ea02eac0a1,90dbb270d2f50588547bfaaa908d2898df4f8665bc391cdc0e20a631a376e1eb,77d2859a473409a9b0d4115b05c04dec4ee58ea1370e290ee6129ca33655282e,4fa2e0934d992b0ac580a367875bd0486dfb657c8bc15a0354e37d59bec9bee3,90e9e03c988163ea7e13ee3cf5130d374a5dd9ca6d6549fd2f83e76b6f17890f,9c1d81a45da53f9de8845b15c871cb2d61b9c8ceb8c2e530e59410c540f02cd9,3a738ee4952000e5f476b953fd51c4e760c9fbb4501867efc216cac7d3b16f05,miss
BodyMesh,Medium,Case1_HemiD10_Medium,1.3,300,321,40,280,868,112,1560,1560,1560,1560,1560,0.721650583949818,6.80518488437199,7.78423431346799e-15,4.31261180691842e-15,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,fcc92a95c1cb3580589b42dcfbf8d6519d62a3ec84bcad3c41aada3c8d1eb8d6,0206db3cb72c8add18d39b249cb8a7c4d9f1615318963a056ddea62de4571c49,a7919cac4e1637f46cb1d7c8e447711368e851f11443c67adc6936dd03a797a3,03932ededcdb42ab3e28ea081dcdf67efc1002c113137e5137e2e09390790357,6e719a82f81eab44f7a4dfd8fd31e3c79568339af4230ade8ec4e83fa733d8a0,f2008cafd22304db0af48b7969a07b42937388a745dd4a781c1bf8e82cf6776e,92f1f027f4bb3adb6989d7f6545ef37bee489843c1c0756896bcf1a2ad8f3430,miss
BodyMesh,Medium,Case1_HemiD10_Medium,1.4,300,321,40,280,868,112,1560,1560,1560,1560,1560,0.721650583949818,6.25422931550268,2.21169230015122e-15,2.54048029153381e-15,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,afa97ac5a368b91605fa1c0af128a34f9f91b2ab0f6ed8a0ec8f0901e6ca397f,f0960573b678eee5d620ff1ab3825280e7ba2ea9fce87e6f160eef60a00cbdcf,6af042591c8f07418d034585ecfeb5c3a6e154762e132e09005eeaf94e401004,de395427e09770e1bd275cf5479e5050cb435361d84bbb9c42cace6dc2beec01,7a868807ccc29b8b5bf63143af07fc2b97da629a7556465bbad0c8d824faafa2,0a46c1b3f3be4e9432d4b6e1a058ece41e9830c4953916e9d5af0ff2c0b44b4e,fe5ac8cc02c2f4b206f2407ac69073fb1a895dc7a0686736784af261ae31d014,miss
BodyMesh,Medium,Case1_HemiD10_Medium,1.5,300,321,40,280,868,112,1560,1560,1560,1560,1560,0.721650583949818,5.80709704436257,5.03582495274479e-15,3.52593894232036e-15,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,30e6eaa7d787cb53232befee02ce1d0b42ce8d4a8e04b0e5667c3e5c452c3e69,aacc31485522f79006ed6dd0213bcf955cdfcae67f9066df047104015354c810,c1d139d7270eb55956d4c695a4f4d50a79522ba6772648f86fd2c448b511a5aa,c081b214c11b82fce097d1a6d7a8a481c3d6fd0e83295fa97a55af2ac0825a5f,8b020353664c19069097d4b53e63db2083a1b1d15676cdf57e471a6a4b60c1d1,0e3faf8184cc0cce75b6aea8d989a607fc38fafbc0c3143d455e8b659b29d525,09e0410fa2829e5ed26b63b3673dce72b177cf8cc8cf5394eb3858a82c44075c,miss
BodyMesh,Medium,Case1_HemiD10_Medium,1.6,300,321,40,280,868,112,1560,1560,1560,1560,1560,0.721650583949818,5.43894920632952,1.21883341460216e-14,6.2087585414096e-15,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,6f52c49364de80332620d9f602846d345a906654092168b50919150787b3c36b,7f4adac97937557a67cbe3cbabc2ca7ab8394340887fe9eb94bcb4236ee4d1ee,47741dfd6c23f907a6660889e02afbd2315fb30ba8d99102e1f4f1177c792436,a313bdf7c76d7b5f43a418e70d53727186be5584177eeb517ed543f8b5d546d8,3e51a9039c97f74b2713bb05504923aabda4dfa8d7b9d7fa14b3a7d494e9f123,2bb238a4c0705289e511e5b7f05b38f1b0fecd2c87755fe3270283e67a9b736b,20a9fbbbcf1a1152722633d440eba2016ba02d729371b89e475c7ab796e65b38,miss
BodyMesh,Medium,Case1_HemiD10_Medium,1.7,300,321,40,280,868,112,1560,1560,1560,1560,1560,0.721650583949818,5.13200596442327,1.50879958990674e-14,2.0752139547884e-14,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,d302162cda5aed07275ab7f5646d4071e011241bdcbde64c2d8df476febe9266,f12c83b07db28e2c74f438d4d5a6724b004573c6454dc2887ba9224d2dec7853,69c2fd4e133c89abdba29a48401b1065f84a9226ede3fd71ee418ee3a1a1ac0f,b9531f14d3067fdcc9352d7fcbc1d67ae01c7f923660aa4a6a87d8efb6a16e30,0577998a42e2a01de1db8f20276b519c0af89ba87a236cd2c59593b0a71d8221,82d0296e33594430433f1f15990c9632bd513941c98649cad707c9d7891eadaa,0dce0b694caf71c52e35102ec5254441f2c1326e3164a97c008233c592d5c775,miss
BodyMesh,Medium,Case1_HemiD10_Medium,1.8,300,321,40,280,868,112,1560,1560,1560,1560,1560,0.721650583949818,4.8732612193141,1.7254330246283e-14,4.88296404656376e-15,07223b90de15100b880ccba1dda5a8f328095f183ecf2fe98d3fff9303c4dee1,f1e12c98b020f5a8f5ea9fa421685e2d9460f08b7989a2498057175d718c6ebd,808cbf3f9218b19ea979c4d475324ef785e3b5795242e44d52a40a1f51f95f1c,afb4eafc68a1db83f3e8717ae085eb796250fbb7db4a49e3232cc95e59998784,2a70d98025e42e7ac0a576a5d3169ee3c13f3f3ff24c43a9f81c121412d4562a,916e846f237706512247943aa55c79182fb4f7b646081f69c9de4f5fa24223a4,46c167b0d8e35fa85c6dc7f311fb4d3af85d17da1e1e64e919cd420755a3ff4b,ad6040443228e26d3bda4589576eb7ec6a9f577750dfc968d3fdb58587c18614,miss
